Object,Object Type ID,Property label,Internal name,Type,Field type,Read only,Unique lookup property,Categories,Options,Pipeline stages
Company,0-2,Account status,account_status,enumeration,,False,False,customer_and_exclusion;explicit_a2_candidate,Active [Active]; Block [Block]; Ship [Ship],
Company,0-2,Active Mustad Dealer,active_mustad_dealer,bool,,False,False,explicit_a2_candidate,Yes [true]; No [false],
Company,0-2,Address Verified,mailing_verified,bool,,False,False,explicit_a2_candidate;identity_and_contact;quality_and_enrichment,Yes [true]; No [false],
Company,0-2,Assigned Rep,assigned_rep,enumeration,,False,False,ownership_and_routing,Rachel Otten [33209911]; Tahmineh Goljan [34737828]; Mustad HubSpot [35006795]; Tim Shannon [35051817]; Kris Kibbey [35051818]; allison Phleger [35051819]; Hannah Goshorn [35051820]; Todd Walker [35051821]; DAVID YORK [35051822]; Rob Logsdon [35051851]; Fred Lang [35223608]; Sharon Colvin [35787418]; Julie Durushia [35787459]; Sample Request Mustad USA [36398228]; Mohammad reza Asadi [36771337]; Cetrix Support [50462861]; Lucija Batarelo [77926659]; Hayley Moore [77926690]; Faezeh Yazdani [91453469]; Lindsay Stafford [92300650]; shahin qoli [95099317],
Company,0-2,Brands,hs_all_assigned_business_unit_ids,enumeration,,False,False,explicit_a2_candidate;ownership_and_routing,EQUINET App [0]; Mustad USA [18640656],
Company,0-2,Business Type,business_type,enumeration,,False,False,explicit_a2_candidate,Feed Story [Feed Story]; Farm Supply [Farm Supply]; Tack & Saddle [Tack & Saddle]; Farrier Supply [Farrier Supply]; Vet Supply [Vet Supply]; Co-op [Co-op]; Online only [Online only]; Other [Other],
Company,0-2,City,city,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Company,0-2,Company Domain Name,domain,string,,False,False,explicit_a2_candidate;external_ids_and_associations;identity_and_contact,,
Company,0-2,Company Email,company_email,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Company,0-2,Company name,name,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Company,0-2,Company owner,hubspot_owner_id,enumeration,,False,False,explicit_a2_candidate;ownership_and_routing,Rachel Otten [33209911]; Tahmineh Goljan [34737828]; Mustad HubSpot [35006795]; Tim Shannon [35051817]; Kris Kibbey [35051818]; allison Phleger [35051819]; Hannah Goshorn [35051820]; Todd Walker [35051821]; DAVID YORK [35051822]; Rob Logsdon [35051851]; Fred Lang [35223608]; Sharon Colvin [35787418]; Julie Durushia [35787459]; Sample Request Mustad USA [36398228]; Mohammad reza Asadi [36771337]; Cetrix Support [50462861]; Lucija Batarelo [77926659]; Hayley Moore [77926690]; Faezeh Yazdani [91453469]; Lindsay Stafford [92300650]; shahin qoli [95099317],
Company,0-2,Company Type,company_type,enumeration,,False,False,explicit_a2_candidate;identity_and_contact,Dealer [Dealer]; Clinic [Clinic]; Farrier Business [Farrier Business]; Trainer [Trainer]; Veterinarian [Veterinarian]; Breeder [Breeder]; Farrier [Farrier]; Facility [Facility]; Farm [Farm]; Other [Other]; Media [Media]; Organization [Organization]; Retail & Supply [Retail & Supply]; Service Provider [Service Provider],
Company,0-2,Country/Region,country,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Company,0-2,Country/Region Code,hs_country_code,string,,False,False,identity_and_contact,,
Company,0-2,Created by user ID,hs_created_by_user_id,number,,True,False,external_ids_and_associations,Mohammad reza Asadi [36771337]; Lucija Batarelo [77926659]; Sharon Colvin [35787418]; Julie Durushia [35787459]; Tahmineh Goljan [34737828]; Hannah Goshorn [35051820]; Mustad HubSpot [35006795]; Kris Kibbey [35051818]; Fred Lang [35223608]; Rob Logsdon [35051851]; Hayley Moore [77926690]; Sample Request Mustad USA [36398228]; Rachel Otten [33209911]; allison Phleger [35051819]; shahin qoli [95099317]; Tim Shannon [35051817]; Lindsay Stafford [92300650]; Cetrix Support [50462861]; Todd Walker [35051821]; Faezeh Yazdani [91453469]; DAVID YORK [35051822],
Company,0-2,"Cumulative time in ""Customer (Lifecycle Stage Pipeline)""",hs_v2_cumulative_time_in_customer,number,,True,False,customer_and_exclusion,,
Company,0-2,"Cumulative time in ""Evangelist (Lifecycle Stage Pipeline)""",hs_v2_cumulative_time_in_evangelist,number,,True,False,customer_and_exclusion,,
Company,0-2,"Cumulative time in ""Lead (Lifecycle Stage Pipeline)""",hs_v2_cumulative_time_in_lead,number,,True,False,customer_and_exclusion,,
Company,0-2,"Cumulative time in ""Marketing Qualified Lead (Lifecycle Stage Pipeline)""",hs_v2_cumulative_time_in_marketingqualifiedlead,number,,True,False,customer_and_exclusion,,
Company,0-2,"Cumulative time in ""Opportunity (Lifecycle Stage Pipeline)""",hs_v2_cumulative_time_in_opportunity,number,,True,False,customer_and_exclusion,,
Company,0-2,"Cumulative time in ""Sales Qualified Lead (Lifecycle Stage Pipeline)""",hs_v2_cumulative_time_in_salesqualifiedlead,number,,True,False,customer_and_exclusion,,
Company,0-2,"Cumulative time in ""Subscriber (Lifecycle Stage Pipeline)""",hs_v2_cumulative_time_in_subscriber,number,,True,False,customer_and_exclusion,,
Company,0-2,Current Customer,hs_current_customer,enumeration,,False,False,customer_and_exclusion;explicit_a2_candidate,Yes [yes]; No [no],
Company,0-2,Data Quality Score,data_quality,enumeration,,False,False,explicit_a2_candidate;qualification_and_score;quality_and_enrichment,Complete [Complete]; Partial [Partial]; Needs Review [Needs Review],
Company,0-2,"Date entered ""Customer (Lifecycle Stage Pipeline)""",hs_v2_date_entered_customer,datetime,,True,False,customer_and_exclusion,,
Company,0-2,"Date entered ""Evangelist (Lifecycle Stage Pipeline)""",hs_v2_date_entered_evangelist,datetime,,True,False,customer_and_exclusion,,
Company,0-2,"Date entered ""Lead (Lifecycle Stage Pipeline)""",hs_v2_date_entered_lead,datetime,,True,False,customer_and_exclusion,,
Company,0-2,"Date entered ""Marketing Qualified Lead (Lifecycle Stage Pipeline)""",hs_v2_date_entered_marketingqualifiedlead,datetime,,True,False,customer_and_exclusion,,
Company,0-2,"Date entered ""Opportunity (Lifecycle Stage Pipeline)""",hs_v2_date_entered_opportunity,datetime,,True,False,customer_and_exclusion,,
Company,0-2,"Date entered ""Sales Qualified Lead (Lifecycle Stage Pipeline)""",hs_v2_date_entered_salesqualifiedlead,datetime,,True,False,customer_and_exclusion,,
Company,0-2,"Date entered ""Subscriber (Lifecycle Stage Pipeline)""",hs_v2_date_entered_subscriber,datetime,,True,False,customer_and_exclusion,,
Company,0-2,Date entered current stage,hs_v2_date_entered_current_stage,datetime,,True,False,activity_and_freshness,,
